epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,153.569,0.90705,2.74665,0.31007,1.05482,0.95686,0.01,0.85714,0.38402,0.18967,0.00417,0.35714,0.1967,0.05078,1.54702,8.25002,0.73735,2.99415,1.83693,0.000404858,0.000404858,0.000404858
75,155.805,0.957,3.28688,0.37953,1.75165,0.99218,0.01083,0.92857,0.35024,0.18591,0.00333,0.28571,0.05934,0.01769,1.52885,8.20464,0.72865,2.9908,1.78849,0.000395752,0.000395752,0.000395752
76,157.974,1.06329,2.48885,0.39431,1.23924,0.97976,0.01083,0.92857,0.35024,0.18591,0.00333,0.28571,0.05934,0.01769,1.52885,8.20464,0.72865,2.9908,1.78849,0.00038625,0.00038625,0.00038625
77,159.998,0.55845,1.63934,0.25915,1.24023,0.95598,0.01083,0.92857,0.35024,0.18591,0.00333,0.28571,0.05934,0.01769,1.52885,8.20464,0.72865,2.9908,1.78849,0.000376352,0.000376352,0.000376352
78,162.17,0.75032,1.92865,0.28416,1.02473,0.97659,0.02397,0.92857,0.27331,0.13089,0.00333,0.28571,0.06316,0.01543,1.46157,8.16504,0.71231,2.96674,1.73524,0.000366058,0.000366058,0.000366058
79,164.102,0.94045,2.45164,0.33503,1.12416,0.95453,0.02397,0.92857,0.27331,0.13089,0.00333,0.28571,0.06316,0.01543,1.46157,8.16504,0.71231,2.96674,1.73524,0.000355368,0.000355368,0.000355368
80,166.157,0.98647,2.76738,0.3614,1.09727,0.97534,0.02397,0.92857,0.27331,0.13089,0.00333,0.28571,0.06316,0.01543,1.46157,8.16504,0.71231,2.96674,1.73524,0.000344282,0.000344282,0.000344282
81,168.218,0.90727,2.36025,0.35524,1.20122,1.09661,0.10695,0.57143,0.25219,0.12125,0.00333,0.28571,0.0617,0.01426,1.43982,8.135,0.7171,2.97348,1.7337,0.0003328,0.0003328,0.0003328
82,170.258,0.73793,2.19814,0.29588,1.01466,0.91706,0.10695,0.57143,0.25219,0.12125,0.00333,0.28571,0.0617,0.01426,1.43982,8.135,0.7171,2.97348,1.7337,0.000320922,0.000320922,0.000320922
83,172.296,0.80718,2.39375,0.31188,1.09236,0.90556,0.10695,0.57143,0.25219,0.12125,0.00333,0.28571,0.0617,0.01426,1.43982,8.135,0.7171,2.97348,1.7337,0.000308648,0.000308648,0.000308648
84,174.778,0.76049,2.11035,0.22293,1.22884,1.09656,0.01863,0.64286,0.23164,0.0979,0.00564,0.21429,0.04446,0.00997,1.42672,8.14852,0.70111,2.97198,1.71767,0.000295978,0.000295978,0.000295978
85,176.811,0.79549,2.5231,0.34094,1.12625,1.01844,0.01863,0.64286,0.23164,0.0979,0.00564,0.21429,0.04446,0.00997,1.42672,8.14852,0.70111,2.97198,1.71767,0.000282912,0.000282912,0.000282912
86,178.855,0.68053,1.56813,0.39773,1.4366,1.00019,0.01863,0.64286,0.23164,0.0979,0.00564,0.21429,0.04446,0.00997,1.42672,8.14852,0.70111,2.97198,1.71767,0.00026945,0.00026945,0.00026945
87,180.946,0.69972,1.74395,0.30895,1.07156,1.02217,0.01863,0.64286,0.23164,0.0979,0.00564,0.21429,0.04446,0.00997,1.42672,8.14852,0.70111,2.97198,1.71767,0.000255592,0.000255592,0.000255592
88,183.342,0.77486,2.5278,0.33446,1.0167,0.95409,0.23672,0.57143,0.24595,0.10539,0.10209,0.21429,0.05176,0.01404,1.39266,8.1112,0.69954,2.95473,1.69953,0.000241338,0.000241338,0.000241338
89,185.378,0.72456,2.09138,0.31367,1.1247,0.98873,0.23672,0.57143,0.24595,0.10539,0.10209,0.21429,0.05176,0.01404,1.39266,8.1112,0.69954,2.95473,1.69953,0.000226688,0.000226688,0.000226688
90,187.498,0.75724,2.56469,0.29922,0.98731,0.97651,0.23672,0.57143,0.24595,0.10539,0.10209,0.21429,0.05176,0.01404,1.39266,8.1112,0.69954,2.95473,1.69953,0.000211642,0.000211642,0.000211642
91,189.599,0.64003,1.57026,0.28265,1.30931,1.03981,0.23672,0.57143,0.24595,0.10539,0.10209,0.21429,0.05176,0.01404,1.39266,8.1112,0.69954,2.95473,1.69953,0.0001962,0.0001962,0.0001962
92,191.834,0.86524,1.72234,0.26017,1.402,1.08765,0.3822,0.4867,0.2462,0.1059,0.14304,0.17986,0.05542,0.01336,1.36183,7.9877,0.67872,2.92749,1.68524,0.000180362,0.000180362,0.000180362
93,194.092,0.64082,1.64382,0.28434,1.22087,0.96712,0.3822,0.4867,0.2462,0.1059,0.14304,0.17986,0.05542,0.01336,1.36183,7.9877,0.67872,2.92749,1.68524,0.000164128,0.000164128,0.000164128
94,196.198,0.58099,1.19268,0.26964,1.24742,0.86493,0.3822,0.4867,0.2462,0.1059,0.14304,0.17986,0.05542,0.01336,1.36183,7.9877,0.67872,2.92749,1.68524,0.000147498,0.000147498,0.000147498
95,198.192,0.61216,1.68055,0.23577,1.21927,0.84129,0.3822,0.4867,0.2462,0.1059,0.14304,0.17986,0.05542,0.01336,1.36183,7.9877,0.67872,2.92749,1.68524,0.000130472,0.000130472,0.000130472
96,200.445,0.73967,2.01752,0.24089,1.39732,1.18824,0.42227,0.21429,0.25076,0.11707,0.13708,0.17118,0.05544,0.01336,1.32673,7.93991,0.66958,2.916,1.68251,0.00011305,0.00011305,0.00011305
97,202.564,0.65197,2.01322,0.22739,1.21651,0.92651,0.42227,0.21429,0.25076,0.11707,0.13708,0.17118,0.05544,0.01336,1.32673,7.93991,0.66958,2.916,1.68251,9.5232e-05,9.5232e-05,9.5232e-05
98,204.647,0.41504,1.09433,0.24374,1.1094,0.81775,0.42227,0.21429,0.25076,0.11707,0.13708,0.17118,0.05544,0.01336,1.32673,7.93991,0.66958,2.916,1.68251,7.7018e-05,7.7018e-05,7.7018e-05
99,206.658,0.50183,1.34713,0.25319,1.15273,0.82583,0.42227,0.21429,0.25076,0.11707,0.13708,0.17118,0.05544,0.01336,1.32673,7.93991,0.66958,2.916,1.68251,5.8408e-05,5.8408e-05,5.8408e-05
100,208.788,0.56609,1.16341,0.27253,1.17531,0.89696,0.45268,0.28571,0.26492,0.12667,0.1738,0.21429,0.06317,0.01356,1.32018,7.88999,0.66239,2.88153,1.66878,3.9402e-05,3.9402e-05,3.9402e-05
